Name,Vertices,Edges,Density,Max Degree,Lower Bound,Upper Bound,Triangles,Average Degree,Std Dev Degree,Solution Size,Time Taken (seconds),Solution Size_scip,Time Taken (seconds)_scip,Solution Size_scip_reduced,Time Taken (seconds)_scip_reduced,Solution Size_highs_reduced,Time Taken (seconds)_highs_reduced,Isolated,Single Edge,Dominating,Set Size
exact_001.gr,19,64,0.374269,8,2.13889,3,46,6.73684,0.848659,3.0,0.01,3.0,0.0,3.0,0.0,3.0,0.01,0,0,0,0
exact_003.gr,25,97,0.323333,16,1.6514,5,106,7.76,3.04998,4.0,0.0,4.0,0.01,4.0,0.01,4.0,0.01,0,0,0,0
exact_005.gr,27,117,0.333333,17,1.63095,4,134,8.66667,3.10316,4.0,0.01,4.0,0.0,4.0,0.0,4.0,0.01,0,0,3,0
exact_007.gr,28,205,0.542328,22,1.23182,6,678,14.6429,4.92236,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0,1,1,1
exact_009.gr,28,228,0.603175,24,1.12681,3,800,16.2857,3.82527,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0,0,2,0
exact_011.gr,29,174,0.428571,19,1.51662,4,402,12.0,4.59385,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0,1,1,1
exact_013.gr,30,155,0.356322,19,1.59776,6,252,10.3333,3.9525,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0,0,1,0
exact_015.gr,30,178,0.409195,22,1.37917,4,333,11.8667,3.50935,3.0,0.0,3.0,0.02,3.0,0.02,3.0,0.01,0,0,3,0
exact_017.gr,30,207,0.475862,21,1.40869,6,540,13.8,4.48999,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0,0,4,0
exact_019.gr,32,90,0.181452,11,3.34087,8,28,5.625,1.96453,7.0,0.02,7.0,0.01,7.0,0.01,7.0,0.01,0,0,1,0
exact_021.gr,33,46,0.0871212,8,5.6381,12,3,2.78788,1.71901,10.0,0.0,10.0,0.0,4.0,0.0,4.0,0.0,0,6,1,6
exact_023.gr,36,141,0.22381,28,1.33029,6,181,7.83333,6.69784,4.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0,1,1,1
exact_025.gr,42,94,0.109175,6,6.32381,8,33,4.47619,1.07433,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0,0,14,0
exact_027.gr,46,116,0.112077,10,6.27024,9,106,5.04348,1.84104,9.0,0.01,9.0,0.0,9.0,0.0,9.0,0.0,0,0,47,0
exact_029.gr,48,64,0.0567376,9,10.0667,16,5,2.66667,1.46249,14.0,0.0,14.0,0.0,12.0,0.0,12.0,0.01,0,2,1,2
exact_031.gr,48,80,0.070922,7,8.56667,19,5,3.33333,1.0274,13.0,0.01,13.0,0.03,12.0,0.01,12.0,0.01,0,1,0,1
exact_033.gr,51,110,0.0862745,6,8.03095,13,32,4.31373,1.0754,11.0,0.03,11.0,0.01,11.0,0.01,11.0,0.03,0,0,2,0
exact_035.gr,52,53,0.0399698,4,16.6667,19,0,2.03846,0.27467,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.01,0,0,0,0
exact_037.gr,52,96,0.0723982,8,8.4,16,19,3.69231,1.23317,11.0,0.0,11.0,0.0,11.0,0.01,11.0,0.0,0,0,16,0
exact_039.gr,53,157,0.113933,16,5.75696,10,185,5.92453,2.91288,9.0,0.01,9.0,0.0,-1.0,-1.0,-1.0,-1.0,0,0,58,0
exact_041.gr,54,100,0.0698812,24,5.47229,19,37,3.7037,3.41364,13.0,0.0,13.0,0.0,11.0,0.0,11.0,0.0,0,2,7,2
exact_043.gr,54,159,0.111111,12,5.81692,9,188,5.88889,2.13148,8.0,0.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0,0,0,89,0
exact_045.gr,56,87,0.0564935,10,9.6619,16,17,3.10714,1.68691,15.0,0.0,15.0,0.0,11.0,0.0,11.0,0.0,0,4,14,4
exact_047.gr,59,104,0.0607832,5,11.4333,16,30,3.52542,0.962974,15.0,0.0,15.0,0.0,12.0,0.0,12.0,0.0,0,3,2,3
exact_049.gr,62,71,0.0375463,5,17.1667,22,5,2.29032,0.657147,20.0,0.01,20.0,0.0,19.0,0.01,19.0,0.01,0,1,4,1
exact_051.gr,62,442,0.233739,42,3.0153,11,2251,14.2581,12.5774,7.0,0.0,7.0,0.0,5.0,0.0,5.0,0.0,0,2,9,2
exact_053.gr,72,174,0.0680751,15,10.4421,19,186,4.83333,2.72845,15.0,0.0,15.0,0.0,-1.0,-1.0,-1.0,-1.0,0,6,63,6
exact_055.gr,164,13193,0.987057,163,1.0,1,696019,160.89,5.04735,1.0,0.01,1.0,0.01,-1.0,-1.0,-1.0,-1.0,0,0,14203,0
exact_057.gr,78,93,0.030969,4,18.8333,25,0,2.38462,0.720234,24.0,0.0,24.0,0.0,17.0,0.0,17.0,0.01,0,7,0,7
exact_059.gr,79,93,0.030185,4,19.0833,26,0,2.35443,0.746943,25.0,0.01,25.0,0.0,17.0,0.0,17.0,0.0,0,8,0,8
exact_061.gr,80,130,0.0411392,8,14.0869,21,60,3.25,1.50416,20.0,0.0,20.0,0.0,-1.0,-1.0,-1.0,-1.0,0,5,77,5
exact_063.gr,82,89,0.0267992,4,20.4167,32,2,2.17073,0.852613,29.0,0.0,29.0,0.0,14.0,0.0,14.0,0.0,0,15,0,15
exact_065.gr,93,139,0.0324918,7,20.1571,29,69,2.98925,1.58958,28.0,0.0,28.0,0.0,-1.0,-1.0,-1.0,-1.0,0,11,58,11
exact_067.gr,100,100,0.020202,4,26.7667,38,0,2.0,0.8,33.0,0.0,33.0,0.0,8.0,0.0,8.0,0.0,0,25,0,25
exact_069.gr,128,253,0.031127,10,20.3833,33,219,3.95312,2.2874,32.0,0.0,32.0,0.0,-1.0,-1.0,-1.0,-1.0,0,9,159,9
exact_071.gr,141,6404,0.648835,126,1.11209,4,149990,90.8369,19.9221,2.0,0.03,2.0,0.02,2.0,0.03,2.0,0.03,0,0,58,0
exact_073.gr,141,6477,0.656231,131,1.07068,4,154368,91.8723,19.8365,3.0,0.08,3.0,0.01,3.0,0.01,3.0,0.07,0,0,44,0
exact_075.gr,141,6609,0.669605,128,1.09558,3,164819,93.7447,20.3778,2.0,0.01,2.0,0.02,2.0,0.03,2.0,0.01,0,0,115,0
exact_077.gr,141,7025,0.711753,130,1.07806,3,191505,99.6454,20.1825,2.0,0.06,2.0,0.02,2.0,0.01,2.0,0.06,0,0,77,0
exact_079.gr,143,6760,0.665813,133,1.06799,3,167014,94.5455,20.3675,2.0,0.02,2.0,0.01,2.0,0.01,2.0,0.03,0,0,44,0
exact_081.gr,143,7068,0.696149,136,1.04592,4,188477,98.8531,20.4522,2.0,0.05,2.0,0.01,2.0,0.01,2.0,0.05,0,0,70,0
exact_083.gr,164,10774,0.806075,158,1.03209,3,418298,131.39,23.487,2.0,0.01,2.0,0.03,2.0,0.02,2.0,0.01,0,0,89,0
exact_085.gr,200,13089,0.657739,147,1.35383,4,373436,130.89,6.45507,3.0,5.03,3.0,4.31,3.0,4.42,3.0,8.66,0,0,0,0
exact_087.gr,200,13930,0.7,164,1.21424,4,484808,139.3,18.4751,3.0,2.94,3.0,2.81,3.0,2.9,3.0,2.95,0,0,0,0
exact_089.gr,200,14834,0.745427,165,1.20859,3,543700,148.34,5.85614,3.0,5.83,3.0,6.52,3.0,3.04,3.0,5.88,0,0,0,0
exact_091.gr,1079,14630,0.0251556,41,57.2565,92,53419,27.1177,8.29842,,,,,-1.0,-1.0,-1.0,-1.0,29,0,1912,29
exact_093.gr,700,5977,0.0244308,18,36.8421,75,5278,17.0771,1.21763,,,,,,,,,0,0,0,0
exact_095.gr,822,4635,0.0137361,307,23.2945,173,988,11.2774,12.7057,86.0,5.44,86.0,4.42,86.0,5.07,86.0,5.46,0,0,4,0
exact_097.gr,899,2920,0.00723397,123,36.3788,396,2874,6.49611,12.5781,175.0,0.01,175.0,0.01,104.0,0.0,104.0,0.0,0,71,1,71
exact_099.gr,912,3041,0.00732037,134,35.7252,401,2534,6.66886,12.4154,161.0,0.01,161.0,0.01,98.0,0.0,98.0,0.0,0,63,1,63
exact_101.gr,1000,3984,0.00797598,84,29.8359,236,461,7.968,8.26263,109.0,19.35,109.0,52.36,109.0,54.47,109.0,19.38,0,0,0,0
exact_103.gr,1015,4994,0.00970453,17,77.3246,179,3094,9.84039,3.16479,,,,,,,,,0,0,0,0
exact_105.gr,1048,12856,0.023433,54,20.2496,170,10486,24.5344,9.10681,36.0,15.56,36.0,15.0,36.0,15.33,36.0,18.13,0,0,95,0
exact_107.gr,1082,12107,0.0207021,275,5.37857,70,0,22.3789,39.6004,37.0,0.11,37.0,0.06,36.0,0.06,36.0,0.11,0,1,0,1
exact_109.gr,1194,11805,0.0165749,300,4.15976,6,35735,19.7739,41.2381,6.0,0.02,6.0,0.07,6.0,0.07,6.0,0.02,0,0,0,0
exact_111.gr,1477,18499,0.0169712,69,27.9557,255,7970,25.0494,20.3401,120.0,1.26,120.0,9.95,120.0,10.16,120.0,1.26,0,0,0,0
exact_113.gr,1260,3767,0.0047493,7,157.5,282,12,5.97937,1.72688,,,,,,,,,0,0,0,0
exact_115.gr,1900,8797,0.00487625,27,108.744,381,99,9.26,3.9782,,,,,,,,,0,10,0,10
exact_117.gr,1409,21147,0.0213189,66,22.6105,52,138798,30.017,14.7838,34.0,0.02,34.0,0.03,-1.0,-1.0,-1.0,-1.0,0,0,12093,0
exact_119.gr,1473,9093,0.00838739,21,116.182,158,20936,12.3462,5.16302,133.0,0.46,133.0,0.05,-1.0,-1.0,-1.0,-1.0,0,16,1532,16
exact_121.gr,2113,6632,0.00297222,109,138.735,833,10404,6.27733,9.8132,479.0,0.01,479.0,0.01,288.0,0.01,288.0,0.0,0,191,102,191
exact_123.gr,1506,6146,0.00542327,54,59.4,339,35,8.16202,7.87394,200.0,6.39,200.0,6.78,133.0,6.84,133.0,1.4,0,67,0,67
exact_125.gr,1589,5273,0.00417939,35,166.424,410,4655,6.63688,3.62509,,,,,,,,,0,1,225,1
exact_127.gr,1678,4913,0.00349182,36,125.892,396,2,5.85578,4.43259,,,,,,,,,0,34,0,34
exact_129.gr,1721,5534,0.00373904,48,59.7519,179,0,6.43114,8.83045,,,,,,,,,0,9,0,9
exact_131.gr,1742,5118,0.00337507,31,133.036,430,4,5.876,4.24948,,,,,,,,,0,36,1,36
exact_133.gr,1813,6369,0.00387744,1334,17.1388,327,6619,7.02592,33.6799,75.0,0.02,75.0,0.02,69.0,0.01,69.0,0.01,0,6,703,6
exact_135.gr,1266,6451,0.00805625,112,39.9809,481,2491,10.1912,13.2376,249.0,0.01,249.0,0.01,158.0,0.0,158.0,0.0,0,91,7,91
exact_137.gr,1760,15936,0.0102951,20,83.8095,335,3520,18.1091,3.39878,,,,,,,,,0,0,0,0
exact_139.gr,1993,14525,0.00731728,17,117.872,474,1731,14.576,3.08263,,,,,,,,,0,0,0,0
exact_141.gr,2736,8326,0.00222532,17,160.775,440,0,6.08626,4.84465,,,,,,,,,0,6,0,6
exact_143.gr,4065,5405,0.000654352,19,878.36,1295,309,2.65929,1.09736,1143.0,0.48,1143.0,0.31,-1.0,-1.0,-1.0,-1.0,0,24,387,24
exact_145.gr,5064,5636,0.000439642,9,1466.82,1854,114,2.22591,0.667983,1611.0,6.27,1611.0,4.8,1605.0,10.88,1605.0,7.29,0,6,107,6
exact_147.gr,5534,8472,0.000553371,507,207.903,5027,2405,3.0618,9.322,437.0,0.01,437.0,0.02,221.0,0.01,221.0,0.0,0,216,6,216
exact_149.gr,6400,22400,0.00109392,28,220.69,800,0,7.0,7.93725,,,,,,,,,0,0,0,0
exact_151.gr,2380,14265,0.00503884,111,21.25,297,2557,11.9874,24.3218,,,,,,,,,0,0,0,0
exact_153.gr,1882,5511,0.00311352,6,268.857,431,3630,5.85654,0.52121,,,,,,,,,0,0,5,0
exact_155.gr,2146,35052,0.0152295,35,60.0505,70,220362,32.6673,4.96683,70.0,0.02,70.0,0.04,-1.0,-1.0,-1.0,-1.0,0,0,7588,0
exact_157.gr,2169,6488,0.00275945,169,198.072,948,0,5.98248,8.54795,835.0,0.01,835.0,0.01,36.0,0.0,36.0,0.0,0,799,0,799
exact_159.gr,2230,3218,0.0012948,17,443.948,706,542,2.8861,1.64454,626.0,0.06,626.0,0.05,-1.0,-1.0,-1.0,-1.0,0,105,382,105
exact_161.gr,2458,3194,0.00105774,12,558.893,826,165,2.59886,1.12239,721.0,0.13,721.0,0.12,691.0,0.15,691.0,0.24,0,30,163,30
exact_163.gr,3829,5566,0.000759479,18,741.309,1194,584,2.90729,1.44166,1031.0,0.16,1031.0,0.22,1005.0,0.2,1005.0,0.16,0,26,499,26
exact_165.gr,2554,3206,0.000983381,21,612.033,857,187,2.51057,1.16531,756.0,0.47,756.0,0.49,748.0,0.26,748.0,0.26,0,8,160,8
exact_167.gr,2572,2999,0.000907055,17,700.741,935,95,2.33204,1.00667,802.0,1.0,802.0,1.1,799.0,1.44,799.0,0.53,0,3,91,3
exact_169.gr,2678,3243,0.000904728,13,693.284,949,111,2.42196,0.976801,819.0,1.97,819.0,1.61,-1.0,-1.0,-1.0,-1.0,0,12,91,12
exact_171.gr,2780,5540,0.00143419,8,455.329,730,408,3.98561,1.16629,,,,,,,,,0,4,0,4
exact_173.gr,3006,10806,0.00239255,37,81.1664,300,0,7.18962,9.6005,,,,,,,,,0,6,0,6
exact_175.gr,4531,5764,0.000561645,15,1027.02,1457,354,2.54425,1.00252,1299.0,0.21,1299.0,0.25,1270.0,0.32,1270.0,0.25,0,29,426,29
exact_177.gr,3023,6149,0.00134618,129,314.056,1112,1047,4.06814,6.80249,707.0,0.01,707.0,0.01,-1.0,-1.0,-1.0,-1.0,0,374,55,374
exact_179.gr,3045,9335,0.00201425,25,203.691,1062,160,6.13136,4.57542,601.0,15.89,601.0,5.38,499.0,8.62,499.0,12.93,0,102,0,102
exact_181.gr,3193,7558,0.00148312,9,519.3,733,6957,4.73411,1.95512,601.0,0.03,601.0,0.08,-1.0,-1.0,-1.0,-1.0,0,2,4818,2
exact_183.gr,3340,9648,0.00173023,36,228.928,861,20,5.77725,5.18301,,,,,,,,,0,465,0,465
exact_185.gr,3478,8273,0.00136823,24,276.591,991,0,4.75733,4.13276,,,,,,,,,0,1,0,1
exact_187.gr,4858,11029,0.000934847,7,755.151,1433,1120,4.54055,1.13121,,,,,,,,,0,8,0,8
exact_189.gr,3575,7310,0.00114424,37,153.305,195,0,4.08951,5.43188,195.0,0.03,195.0,0.12,195.0,0.12,195.0,0.03,0,0,0,0
exact_191.gr,3850,5029,0.000678739,73,1233.79,1452,0,2.61247,4.38965,1329.0,0.87,1329.0,0.74,168.0,1.08,168.0,0.86,0,1161,0,1161
exact_193.gr,4320,6762,0.000724833,36,264.592,1840,2142,3.13056,5.03277,540.0,0.02,540.0,0.07,251.0,0.06,251.0,0.03,0,289,0,289
exact_195.gr,5224,10945,0.000802274,1501,394.736,1838,501,4.19028,25.0154,1001.0,0.07,1001.0,0.07,501.0,0.06,501.0,0.06,0,500,0,500
exact_197.gr,7302,8107,0.000304135,1532,190.033,1871,187,2.22049,26.2787,348.0,0.02,348.0,0.03,121.0,0.01,121.0,0.04,0,227,0,227
exact_199.gr,10460,7213,0.000131863,4,3794.08,4469,58,1.37916,0.56948,4332.0,0.01,4332.0,0.04,-1.0,-1.0,-1.0,-1.0,0,3682,96,3682
